iter	Passed	Remaining
0	146	146007
1	149	74373
2	160	53377
3	163	40727
4	171	34032
5	173	28789
6	176	25003
7	178	22160
8	184	20281
9	186	18502
10	189	17018
11	191	15776
12	194	14788
13	199	14020
14	201	13233
15	203	12543
16	206	11952
17	212	11589
18	214	11097
19	217	10647
20	219	10239
21	227	10102
22	229	9759
23	232	9435
24	234	9136
25	241	9048
26	243	8790
27	246	8549
28	248	8323
29	255	8263
30	257	8061
31	260	7870
32	262	7694
33	265	7551
34	268	7402
35	270	7252
36	273	7108
37	275	6973
38	277	6849
39	281	6744
40	283	6627
41	285	6516
42	287	6408
43	290	6304
44	292	6206
45	294	6111
46	297	6025
47	299	5941
48	301	5859
49	305	5795
50	307	5720
51	309	5647
52	312	5576
53	314	5506
54	316	5440
55	319	5378
56	321	5316
57	323	5257
58	326	5200
59	328	5145
60	330	5090
61	333	5039
62	335	4987
63	337	4936
64	339	4888
65	342	4842
66	344	4798
67	346	4753
68	349	4709
69	351	4668
70	353	4628
71	355	4588
72	358	4550
73	360	4514
74	363	4477
75	365	4442
76	367	4407
77	369	4373
78	372	4340
79	374	4308
80	377	4277
81	379	4247
82	380	4208
83	383	4179
84	385	4151
85	388	4126
86	390	4098
87	393	4073
88	395	4047
89	397	4021
90	399	3995
91	402	3969
92	404	3945
93	406	3921
94	409	3897
95	411	3874
96	413	3851
97	416	3831
98	418	3809
99	420	3787
100	423	3766
101	425	3745
102	427	3725
103	430	3708
104	432	3687
105	434	3667
106	437	3648
107	439	3630
108	441	3612
109	444	3595
110	446	3577
111	449	3560
112	451	3542
113	453	3525
114	455	3508
115	458	3493
116	460	3473
117	462	3457
118	464	3441
119	467	3425
120	469	3409
121	471	3396
122	474	3381
123	476	3367
124	478	3352
125	481	3338
126	483	3320
127	485	3307
128	487	3293
129	490	3280
130	492	3266
131	494	3253
132	496	3239
133	499	3227
134	501	3214
135	503	3201
136	506	3189
137	508	3176
138	510	3164
139	513	3157
140	516	3149
141	518	3133
142	521	3122
143	523	3111
144	526	3102
145	528	3092
146	531	3081
147	533	3070
148	536	3062
149	538	3053
150	541	3045
151	543	3034
152	546	3024
153	548	3015
154	551	3004
155	553	2994
156	556	2986
157	558	2976
158	560	2967
159	563	2959
160	565	2945
161	567	2936
162	569	2926
163	572	2917
164	574	2907
165	576	2898
166	579	2889
167	581	2880
168	584	2873
169	586	2865
170	589	2856
171	591	2848
172	594	2840
173	596	2831
174	598	2822
175	601	2814
176	603	2805
177	605	2797
178	608	2789
179	610	2780
180	612	2773
181	615	2765
182	617	2756
183	620	2749
184	622	2741
185	624	2733
186	627	2726
187	629	2718
188	631	2710
189	634	2703
190	636	2696
191	639	2689
192	641	2682
193	643	2674
194	646	2667
195	648	2660
196	651	2654
197	653	2647
198	655	2639
199	658	2632
200	660	2625
201	662	2618
202	665	2611
203	667	2605
204	670	2598
205	672	2592
206	675	2586
207	677	2579
208	679	2572
209	682	2565
210	684	2559
211	686	2552
212	689	2545
213	691	2539
214	693	2532
215	696	2526
216	698	2520
217	700	2513
218	703	2507
219	705	2501
220	707	2494
221	710	2488
222	712	2482
223	714	2475
224	717	2469
225	719	2463
226	721	2457
227	724	2451
228	726	2446
229	728	2439
230	731	2434
231	733	2428
232	735	2422
233	738	2417
234	741	2413
235	743	2407
236	746	2402
237	748	2396
238	750	2389
239	753	2384
240	755	2378
241	757	2372
242	759	2367
243	762	2361
244	764	2355
245	766	2350
246	769	2344
247	771	2338
248	773	2334
249	776	2328
250	778	2323
251	781	2318
252	783	2312
253	785	2307
254	788	2303
255	791	2299
256	794	2295
257	796	2290
258	798	2285
259	801	2280
260	803	2275
261	805	2270
262	808	2266
263	812	2265
264	815	2260
265	817	2257
266	821	2254
267	823	2249
268	825	2244
269	828	2239
270	831	2235
271	834	2233
272	837	2229
273	839	2224
274	841	2218
275	844	2213
276	846	2208
277	848	2203
278	851	2200
279	853	2195
280	856	2190
281	858	2185
282	860	2180
283	862	2175
284	865	2171
285	867	2166
286	870	2161
287	872	2157
288	874	2152
289	877	2148
290	879	2143
291	882	2139
292	884	2134
293	887	2130
294	889	2125
295	891	2120
296	894	2116
297	896	2111
298	898	2107
299	901	2103
300	903	2098
301	906	2094
302	908	2089
303	910	2085
304	913	2080
305	915	2076
306	917	2072
307	920	2067
308	922	2063
309	925	2059
310	927	2055
311	930	2051
312	932	2046
313	934	2042
314	937	2038
315	939	2033
316	942	2030
317	944	2026
318	946	2021
319	949	2018
320	952	2013
321	954	2009
322	956	2005
323	959	2001
324	961	1997
325	965	1996
326	968	1992
327	970	1988
328	973	1984
329	975	1980
330	977	1976
331	980	1972
332	982	1967
333	985	1964
334	988	1961
335	990	1957
336	993	1953
337	995	1950
338	998	1947
339	1001	1943
340	1003	1939
341	1006	1936
342	1009	1932
343	1011	1929
344	1014	1925
345	1016	1921
346	1018	1917
347	1020	1912
348	1023	1908
349	1025	1904
350	1028	1900
351	1030	1897
352	1033	1893
353	1035	1889
354	1037	1885
355	1040	1881
356	1042	1877
357	1044	1873
358	1047	1869
359	1049	1865
360	1051	1861
361	1054	1857
362	1056	1853
363	1058	1849
364	1061	1846
365	1063	1842
366	1066	1838
367	1068	1834
368	1070	1830
369	1072	1826
370	1075	1823
371	1077	1819
372	1079	1815
373	1082	1811
374	1084	1807
375	1087	1804
376	1089	1800
377	1091	1796
378	1093	1792
379	1096	1788
380	1098	1785
381	1101	1781
382	1103	1777
383	1105	1773
384	1108	1770
385	1110	1767
386	1113	1763
387	1115	1759
388	1118	1756
389	1120	1752
390	1122	1748
391	1125	1745
392	1127	1742
393	1130	1738
394	1132	1734
395	1134	1730
396	1137	1727
397	1139	1723
398	1141	1720
399	1144	1716
400	1146	1712
401	1149	1709
402	1151	1705
403	1153	1702
404	1156	1698
405	1158	1694
406	1160	1691
407	1162	1687
408	1165	1683
409	1167	1680
410	1170	1677
411	1173	1674
412	1175	1671
413	1178	1667
414	1180	1663
415	1182	1660
416	1184	1656
417	1187	1653
418	1189	1649
419	1191	1645
420	1194	1642
421	1196	1639
422	1198	1635
423	1201	1632
424	1203	1628
425	1206	1625
426	1208	1621
427	1210	1617
428	1212	1614
429	1215	1610
430	1217	1607
431	1219	1603
432	1222	1600
433	1224	1596
434	1226	1593
435	1229	1589
436	1231	1586
437	1233	1583
438	1236	1579
439	1239	1577
440	1241	1573
441	1243	1570
442	1246	1566
443	1248	1563
444	1250	1560
445	1253	1556
446	1255	1553
447	1258	1550
448	1260	1546
449	1262	1543
450	1264	1539
451	1267	1536
452	1269	1533
453	1271	1529
454	1274	1526
455	1276	1522
456	1278	1519
457	1281	1516
458	1283	1513
459	1286	1510
460	1288	1506
461	1290	1503
462	1293	1500
463	1295	1496
464	1298	1493
465	1300	1490
466	1302	1486
467	1305	1483
468	1307	1480
469	1309	1477
470	1312	1473
471	1314	1470
472	1316	1467
473	1319	1463
474	1321	1460
475	1324	1457
476	1326	1454
477	1328	1451
478	1331	1447
479	1333	1444
480	1335	1441
481	1337	1437
482	1340	1434
483	1342	1431
484	1345	1428
485	1347	1425
486	1349	1421
487	1352	1418
488	1354	1415
489	1356	1412
490	1359	1408
491	1361	1405
492	1363	1402
493	1366	1399
494	1368	1396
495	1371	1393
496	1373	1390
497	1375	1387
498	1378	1383
499	1380	1380
500	1383	1377
501	1385	1374
502	1387	1371
503	1389	1367
504	1392	1364
505	1395	1362
506	1397	1359
507	1400	1355
508	1402	1353
509	1405	1350
510	1407	1347
511	1410	1344
512	1412	1341
513	1415	1338
514	1417	1334
515	1420	1331
516	1422	1328
517	1424	1325
518	1427	1322
519	1429	1319
520	1431	1316
521	1434	1313
522	1436	1310
523	1439	1307
524	1441	1304
525	1443	1300
526	1445	1297
527	1448	1294
528	1450	1291
529	1452	1288
530	1455	1285
531	1457	1282
532	1460	1279
533	1463	1276
534	1465	1273
535	1467	1270
536	1469	1267
537	1472	1264
538	1474	1261
539	1477	1258
540	1480	1256
541	1483	1253
542	1486	1251
543	1489	1248
544	1491	1245
545	1493	1241
546	1495	1238
547	1498	1235
548	1500	1232
549	1502	1229
550	1506	1227
551	1509	1225
552	1512	1222
553	1515	1219
554	1517	1217
555	1520	1214
556	1522	1210
557	1524	1207
558	1527	1204
559	1529	1201
560	1531	1198
561	1535	1196
562	1537	1193
563	1540	1191
564	1543	1188
565	1545	1185
566	1548	1182
567	1551	1179
568	1553	1176
569	1555	1173
570	1557	1170
571	1560	1167
572	1562	1164
573	1565	1161
574	1567	1158
575	1570	1155
576	1572	1152
577	1574	1149
578	1577	1146
579	1579	1143
580	1581	1140
581	1584	1137
582	1586	1134
583	1588	1131
584	1591	1128
585	1593	1125
586	1595	1122
587	1597	1119
588	1600	1116
589	1602	1113
590	1604	1110
591	1607	1107
592	1609	1104
