iter	Passed	Remaining
0	240	240472
1	246	122949
2	255	84927
3	258	64484
4	264	52593
5	270	44856
6	274	38938
7	278	34514
8	281	31037
9	285	28257
10	289	25991
11	297	24502
12	302	22980
13	315	22200
14	320	21061
15	325	20019
16	329	19074
17	335	18292
18	339	17541
19	343	16821
20	350	16356
21	354	15776
22	358	15245
23	367	14931
24	376	14666
25	382	14343
26	403	14526
27	411	14270
28	414	13861
29	417	13486
30	419	13127
31	425	12868
32	428	12561
33	431	12254
34	434	11966
35	437	11715
36	440	11463
37	443	11223
38	446	10991
39	448	10772
40	451	10566
41	454	10367
42	457	10178
43	460	10001
44	463	9847
45	466	9683
46	469	9515
47	472	9361
48	474	9216
49	478	9082
50	480	8944
51	483	8813
52	485	8682
53	489	8567
54	492	8454
55	494	8339
56	497	8226
57	499	8115
58	502	8019
59	505	7922
60	508	7826
61	511	7734
62	514	7657
63	517	7572
64	520	7493
65	523	7411
66	526	7332
67	528	7240
68	531	7170
69	534	7100
70	537	7028
71	539	6958
72	542	6894
73	547	6852
74	552	6808
75	555	6752
76	561	6735
77	564	6677
78	570	6647
79	573	6590
80	575	6531
81	578	6475
82	582	6435
83	585	6386
84	588	6332
85	591	6282
86	593	6224
87	595	6175
88	599	6133
89	602	6089
90	605	6048
91	608	6002
92	610	5957
93	614	5923
94	618	5891
95	622	5860
96	626	5828
97	631	5811
98	635	5783
99	638	5750
100	643	5728
101	645	5686
102	649	5656
103	652	5623
104	660	5630
105	665	5613
106	669	5584
107	672	5556
108	676	5530
109	679	5501
110	683	5472
111	689	5467
112	693	5446
113	699	5438
114	708	5449
115	710	5414
116	720	5434
117	724	5414
118	728	5391
119	735	5391
120	739	5369
121	744	5354
122	747	5331
123	751	5310
124	755	5285
125	758	5262
126	771	5306
127	774	5273
128	781	5278
129	785	5257
130	789	5236
131	796	5239
132	800	5218
133	805	5202
134	813	5209
135	816	5188
136	820	5167
137	825	5155
138	828	5134
139	832	5114
140	842	5133
141	846	5112
142	850	5094
143	853	5072
144	864	5099
145	869	5088
146	872	5065
147	876	5044
148	882	5041
149	889	5042
150	897	5048
151	915	5107
152	919	5089
153	923	5071
154	930	5073
155	938	5075
156	947	5089
157	958	5106
158	968	5120
159	978	5138
160	982	5120
161	992	5136
162	998	5129
163	1008	5143
164	1012	5124
165	1021	5134
166	1028	5131
167	1032	5112
168	1039	5109
169	1041	5087
170	1044	5063
171	1047	5042
172	1054	5040
173	1057	5018
174	1060	4998
175	1063	4977
176	1069	4972
177	1072	4950
178	1075	4933
179	1078	4912
180	1082	4900
181	1085	4879
182	1088	4861
183	1091	4840
184	1096	4832
185	1099	4813
186	1103	4795
187	1106	4780
188	1111	4769
189	1115	4753
190	1118	4738
191	1122	4722
192	1128	4717
193	1130	4698
194	1133	4680
195	1136	4661
196	1139	4646
197	1144	4636
198	1147	4617
199	1149	4598
200	1152	4579
201	1158	4576
202	1161	4559
203	1163	4541
204	1166	4523
205	1171	4515
206	1175	4501
207	1177	4484
208	1180	4469
209	1183	4453
210	1189	4448
211	1192	4433
212	1195	4416
213	1197	4399
214	1204	4398
215	1207	4381
216	1209	4365
217	1213	4351
218	1219	4349
219	1222	4332
220	1224	4317
221	1227	4300
222	1233	4297
223	1236	4282
224	1239	4267
225	1241	4252
226	1246	4245
227	1249	4230
228	1252	4215
229	1254	4200
230	1257	4184
231	1263	4182
232	1266	4168
233	1268	4153
234	1271	4139
235	1276	4133
236	1279	4118
237	1282	4104
238	1284	4091
239	1287	4076
240	1293	4073
241	1296	4059
242	1298	4045
243	1300	4030
244	1304	4018
245	1308	4011
246	1311	3997
247	1313	3983
248	1315	3968
249	1318	3956
250	1323	3948
251	1325	3934
252	1328	3921
253	1330	3907
254	1333	3896
255	1337	3886
256	1340	3874
257	1342	3861
258	1345	3849
259	1351	3847
260	1354	3834
261	1356	3821
262	1359	3808
263	1364	3804
264	1367	3793
265	1370	3781
266	1373	3769
267	1375	3758
268	1379	3749
269	1382	3737
270	1384	3725
271	1387	3713
272	1393	3710
273	1395	3698
274	1398	3686
275	1402	3678
276	1408	3676
277	1411	3665
278	1414	3654
279	1417	3644
280	1421	3637
281	1424	3626
282	1427	3615
283	1429	3604
284	1432	3594
285	1435	3584
286	1438	3573
287	1441	3562
288	1444	3552
289	1446	3541
290	1450	3534
291	1453	3524
292	1457	3516
293	1463	3513
294	1466	3504
295	1469	3494
296	1471	3483
297	1474	3473
298	1478	3466
299	1481	3456
300	1484	3446
301	1486	3436
302	1489	3426
303	1491	3415
304	1494	3405
305	1497	3396
306	1500	3386
307	1503	3377
308	1505	3367
309	1508	3358
310	1511	3348
311	1514	3339
312	1516	3329
313	1519	3319
314	1521	3309
315	1524	3299
316	1526	3289
317	1529	3280
318	1531	3270
319	1534	3261
320	1537	3251
321	1539	3242
322	1542	3233
323	1545	3223
324	1547	3214
325	1550	3206
326	1553	3197
327	1555	3187
328	1558	3178
329	1560	3168
330	1563	3160
331	1566	3151
332	1569	3143
333	1571	3133
334	1574	3125
335	1577	3117
336	1580	3108
337	1582	3099
338	1585	3090
339	1587	3082
340	1590	3073
341	1593	3065
342	1595	3056
343	1598	3048
344	1601	3040
345	1605	3033
346	1608	3026
347	1610	3017
348	1613	3009
349	1615	3000
350	1618	2992
351	1621	2984
352	1623	2975
353	1625	2966
354	1628	2959
355	1632	2952
356	1635	2945
357	1638	2937
